datetime_beginning_utc,datetime_beginning_ept,ancillary_service,unit,value,row_is_current,version_nbr
9/1/2024 4:00:00 AM,9/1/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/1/2024 5:00:00 AM,9/1/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/1/2024 6:00:00 AM,9/1/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 7:00:00 AM,9/1/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 8:00:00 AM,9/1/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 9:00:00 AM,9/1/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 10:00:00 AM,9/1/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 11:00:00 AM,9/1/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 12:00:00 PM,9/1/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 1:00:00 PM,9/1/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/1/2024 2:00:00 PM,9/1/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/1/2024 3:00:00 PM,9/1/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 4:00:00 PM,9/1/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 5:00:00 PM,9/1/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 6:00:00 PM,9/1/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 7:00:00 PM,9/1/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/1/2024 8:00:00 PM,9/1/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.470000,True,1
9/1/2024 9:00:00 PM,9/1/2024 5:00:00 PM,RTO Synchronized Reserve,Price,2.430000,True,1
9/1/2024 10:00:00 PM,9/1/2024 6:00:00 PM,RTO Synchronized Reserve,Price,0.830000,True,1
9/1/2024 11:00:00 PM,9/1/2024 7:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/2/2024 12:00:00 AM,9/1/2024 8:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 1:00:00 AM,9/1/2024 9:00:00 PM,RTO Synchronized Reserve,Price,1.580000,True,1
9/2/2024 2:00:00 AM,9/1/2024 10:00:00 PM,RTO Synchronized Reserve,Price,1.640000,True,1
9/2/2024 3:00:00 AM,9/1/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/2/2024 4:00:00 AM,9/2/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/2/2024 5:00:00 AM,9/2/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/2/2024 6:00:00 AM,9/2/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 7:00:00 AM,9/2/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 8:00:00 AM,9/2/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 9:00:00 AM,9/2/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 10:00:00 AM,9/2/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 11:00:00 AM,9/2/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 12:00:00 PM,9/2/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 1:00:00 PM,9/2/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 2:00:00 PM,9/2/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 3:00:00 PM,9/2/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 4:00:00 PM,9/2/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 5:00:00 PM,9/2/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
