datetime_beginning_utc,datetime_beginning_ept,requirement,regd_ssmw,rega_ssmw,regd_procure,rega_procure,total_mw,deficiency,rto_perfscore,rega_mileage,regd_mileage,rega_hourly,regd_hourly,is_approved,modified_datetime_utc
4/1/2023 4:00:00 AM,4/1/2023 12:00:00 AM,525,170.1,107.6,82.4,164.8,525.0,0.0,0.87,5.8,34.1,3.7,20.8,1,5/5/2023 10:06:16 AM
4/1/2023 5:00:00 AM,4/1/2023 1:00:00 AM,525,170.1,107.6,85.3,161.6,525.0,0.0,0.85,5.8,34.1,6.5,23.7,1,5/5/2023 10:06:16 AM
4/1/2023 6:00:00 AM,4/1/2023 2:00:00 AM,525,168.4,107.6,83.6,165.3,525.0,0.0,0.88,5.8,34.1,6.1,39.3,1,5/5/2023 10:06:16 AM
4/1/2023 7:00:00 AM,4/1/2023 3:00:00 AM,525,169.7,107.6,84.4,163.2,525.0,0.0,0.88,5.8,34.1,4.5,33.6,1,5/5/2023 10:06:16 AM
4/1/2023 8:00:00 AM,4/1/2023 4:00:00 AM,525,166.9,107.6,92.3,158.3,525.0,0.0,0.87,5.8,34.1,4.7,26.1,1,5/5/2023 10:06:16 AM
4/1/2023 9:00:00 AM,4/1/2023 5:00:00 AM,800,191.6,107.6,163.3,337.7,800.0,0.0,0.88,5.8,34.1,4.0,34.9,1,5/5/2023 10:06:16 AM
4/1/2023 10:00:00 AM,4/1/2023 6:00:00 AM,800,192.0,107.6,164.0,336.5,800.0,0.0,0.87,5.8,34.1,5.5,36.1,1,5/5/2023 10:06:16 AM
4/1/2023 11:00:00 AM,4/1/2023 7:00:00 AM,800,192.7,69.2,128.5,409.5,800.0,0.0,0.87,5.8,34.1,6.7,30.1,1,5/5/2023 10:06:16 AM
4/1/2023 12:00:00 PM,4/1/2023 8:00:00 AM,525,166.9,69.2,95.4,193.3,525.0,0.0,0.90,5.8,34.1,12.5,29.6,1,5/5/2023 10:06:16 AM
4/1/2023 1:00:00 PM,4/1/2023 9:00:00 AM,525,166.9,31.9,88.7,237.5,525.0,0.0,0.89,5.8,34.1,5.3,43.7,1,5/5/2023 10:06:16 AM
4/1/2023 2:00:00 PM,4/1/2023 10:00:00 AM,525,167.1,31.9,98.4,227.5,525.0,0.0,0.88,5.8,34.1,4.9,16.0,1,5/5/2023 10:06:16 AM
4/1/2023 3:00:00 PM,4/1/2023 11:00:00 AM,525,169.6,31.9,91.1,232.5,525.0,0.0,0.87,5.8,34.1,5.3,17.8,1,5/5/2023 10:06:16 AM
4/1/2023 4:00:00 PM,4/1/2023 12:00:00 PM,525,166.1,31.9,97.5,229.3,525.0,0.0,0.91,5.8,34.1,8.7,43.0,1,5/5/2023 10:06:16 AM
4/1/2023 5:00:00 PM,4/1/2023 1:00:00 PM,525,165.8,31.9,95.6,231.7,525.0,0.0,0.91,5.8,34.1,4.4,38.6,1,5/5/2023 10:06:16 AM
4/1/2023 6:00:00 PM,4/1/2023 2:00:00 PM,525,165.8,31.9,94.4,232.9,525.0,0.0,0.90,5.8,34.1,6.0,28.9,1,5/5/2023 10:06:16 AM
4/1/2023 7:00:00 PM,4/1/2023 3:00:00 PM,525,166.0,31.9,93.9,233.3,525.0,0.0,0.86,5.8,34.1,7.2,32.5,1,5/5/2023 10:06:16 AM
4/1/2023 8:00:00 PM,4/1/2023 4:00:00 PM,525,166.0,31.9,82.4,244.5,525.0,0.0,0.90,5.8,34.1,7.8,42.5,1,5/5/2023 10:06:16 AM
4/1/2023 9:00:00 PM,4/1/2023 5:00:00 PM,800,189.5,31.9,109.0,469.6,800.0,0.0,0.88,5.8,34.1,5.1,42.6,1,5/5/2023 10:06:16 AM
4/1/2023 10:00:00 PM,4/1/2023 6:00:00 PM,800,189.5,69.2,106.7,434.6,800.0,0.0,0.89,5.8,34.1,5.1,30.1,1,5/5/2023 10:06:16 AM
4/1/2023 11:00:00 PM,4/1/2023 7:00:00 PM,800,189.3,69.2,105.1,436.6,800.0,0.0,0.89,5.8,34.1,4.7,39.5,1,5/5/2023 10:06:16 AM
4/2/2023 12:00:00 AM,4/1/2023 8:00:00 PM,800,189.6,69.2,108.2,432.8,800.0,0.0,0.90,5.8,34.1,4.5,34.2,1,5/5/2023 10:06:16 AM
4/2/2023 1:00:00 AM,4/1/2023 9:00:00 PM,800,189.6,69.2,178.7,362.4,800.0,0.0,0.89,5.8,34.1,5.6,39.0,1,5/5/2023 10:06:16 AM
4/2/2023 2:00:00 AM,4/1/2023 10:00:00 PM,800,189.5,137.5,130.6,342.4,800.0,0.0,0.90,5.8,34.1,4.9,33.3,1,5/5/2023 10:06:16 AM
4/2/2023 3:00:00 AM,4/1/2023 11:00:00 PM,800,189.5,203.7,131.3,275.5,800.0,0.0,0.89,5.8,34.1,2.9,35.7,1,5/5/2023 10:06:16 AM
4/2/2023 4:00:00 AM,4/2/2023 12:00:00 AM,525,167.4,107.6,81.3,168.8,525.0,0.0,0.88,5.8,34.2,7.7,43.8,1,5/5/2023 10:06:16 AM
4/2/2023 5:00:00 AM,4/2/2023 1:00:00 AM,525,167.4,107.6,83.0,167.1,525.0,0.0,0.91,5.8,34.2,6.5,55.4,1,5/5/2023 10:06:15 AM
4/2/2023 6:00:00 AM,4/2/2023 2:00:00 AM,525,167.4,107.6,82.5,167.9,525.0,0.0,0.88,5.8,34.2,7.6,30.1,1,5/5/2023 10:06:15 AM
4/2/2023 7:00:00 AM,4/2/2023 3:00:00 AM,525,167.4,107.6,81.4,168.7,525.0,0.0,0.89,5.8,34.2,6.0,39.8,1,5/5/2023 10:06:15 AM
4/2/2023 8:00:00 AM,4/2/2023 4:00:00 AM,525,164.4,107.6,89.5,163.7,525.0,0.0,0.89,5.8,34.2,8.8,40.0,1,5/5/2023 10:06:15 AM
4/2/2023 9:00:00 AM,4/2/2023 5:00:00 AM,800,188.7,107.6,159.2,344.4,800.0,0.0,0.84,5.8,34.2,6.1,39.5,1,5/5/2023 10:06:15 AM
4/2/2023 10:00:00 AM,4/2/2023 6:00:00 AM,800,189.1,107.6,161.1,341.9,800.0,0.0,0.88,5.8,34.2,3.0,36.0,1,5/5/2023 10:06:16 AM
4/2/2023 11:00:00 AM,4/2/2023 7:00:00 AM,800,189.6,135.4,103.7,370.8,800.0,0.0,0.89,5.8,34.2,3.4,36.2,1,5/5/2023 10:06:16 AM
4/2/2023 12:00:00 PM,4/2/2023 8:00:00 AM,525,164.7,69.0,89.1,202.2,525.0,0.0,0.90,5.8,34.2,1.6,27.6,1,5/5/2023 10:06:16 AM
4/2/2023 1:00:00 PM,4/2/2023 9:00:00 AM,525,164.7,31.8,77.2,251.3,525.0,0.0,0.89,5.8,34.2,5.7,40.6,1,5/5/2023 10:06:16 AM
4/2/2023 2:00:00 PM,4/2/2023 10:00:00 AM,525,164.8,31.8,92.6,235.6,525.0,0.0,0.86,5.8,34.2,8.7,41.4,1,5/5/2023 10:06:16 AM
4/2/2023 3:00:00 PM,4/2/2023 11:00:00 AM,525,164.8,31.8,93.0,235.4,525.0,0.0,0.88,5.8,34.2,5.1,39.7,1,5/5/2023 10:06:16 AM
4/2/2023 4:00:00 PM,4/2/2023 12:00:00 PM,525,164.4,31.8,94.2,234.5,525.0,0.0,0.87,5.8,34.2,8.0,36.6,1,5/5/2023 10:06:16 AM
4/2/2023 5:00:00 PM,4/2/2023 1:00:00 PM,525,164.4,31.8,93.9,234.8,525.0,0.0,0.89,5.8,34.2,8.5,39.1,1,5/5/2023 10:06:16 AM
4/2/2023 6:00:00 PM,4/2/2023 2:00:00 PM,525,164.4,31.8,95.2,233.2,525.0,0.0,0.89,5.8,34.2,8.1,34.0,1,5/5/2023 10:06:16 AM
4/2/2023 7:00:00 PM,4/2/2023 3:00:00 PM,525,164.6,31.8,94.6,234.0,525.0,0.0,0.90,5.8,34.2,6.9,35.2,1,5/5/2023 10:06:16 AM
4/2/2023 8:00:00 PM,4/2/2023 4:00:00 PM,525,164.6,31.8,84.5,244.0,525.0,0.0,0.89,5.8,34.2,8.8,37.8,1,5/5/2023 10:06:16 AM
4/2/2023 9:00:00 PM,4/2/2023 5:00:00 PM,800,189.2,31.8,111.9,466.9,800.0,0.0,0.90,5.8,34.2,6.9,30.1,1,5/5/2023 10:06:16 AM
4/2/2023 10:00:00 PM,4/2/2023 6:00:00 PM,800,189.2,31.8,110.7,468.0,800.0,0.0,0.88,5.8,34.2,3.8,28.4,1,5/5/2023 10:06:16 AM
4/2/2023 11:00:00 PM,4/2/2023 7:00:00 PM,800,188.9,31.8,169.5,409.8,800.0,0.0,0.89,5.8,34.2,5.2,32.1,1,5/5/2023 10:06:16 AM
4/3/2023 12:00:00 AM,4/2/2023 8:00:00 PM,800,188.3,31.8,170.5,409.3,800.0,0.0,0.91,5.8,34.2,3.3,35.2,1,5/5/2023 10:06:16 AM
4/3/2023 1:00:00 AM,4/2/2023 9:00:00 PM,800,188.3,31.8,169.5,410.0,800.0,0.0,0.89,5.8,34.2,6.6,27.3,1,5/5/2023 10:06:16 AM
4/3/2023 2:00:00 AM,4/2/2023 10:00:00 PM,800,189.3,100.3,132.0,378.1,800.0,0.0,0.86,5.8,34.2,5.8,26.3,1,5/5/2023 10:06:16 AM
4/3/2023 3:00:00 AM,4/2/2023 11:00:00 PM,800,189.3,100.3,131.5,378.8,800.0,0.0,0.86,5.8,34.2,4.9,26.8,1,5/5/2023 10:06:16 AM
4/3/2023 4:00:00 AM,4/3/2023 12:00:00 AM,525,166.9,70.3,82.1,205.8,525.0,0.0,0.89,5.8,34.2,8.8,25.1,1,5/5/2023 10:06:16 AM
4/3/2023 5:00:00 AM,4/3/2023 1:00:00 AM,525,166.9,70.3,85.4,202.5,525.0,0.0,0.85,5.8,34.2,8.5,30.7,1,5/5/2023 10:06:16 AM
4/3/2023 6:00:00 AM,4/3/2023 2:00:00 AM,525,166.9,70.3,83.0,205.1,525.0,0.0,0.90,5.8,34.2,4.9,37.3,1,5/5/2023 10:06:16 AM
4/3/2023 7:00:00 AM,4/3/2023 3:00:00 AM,525,167.4,70.3,80.5,207.0,525.0,0.0,0.86,5.8,34.2,8.8,34.1,1,5/5/2023 10:06:16 AM
4/3/2023 8:00:00 AM,4/3/2023 4:00:00 AM,525,164.4,70.3,89.2,201.2,525.0,0.0,0.87,5.8,34.2,6.3,35.5,1,5/5/2023 10:06:16 AM
4/3/2023 9:00:00 AM,4/3/2023 5:00:00 AM,800,188.7,70.3,159.4,381.6,800.0,0.0,0.88,5.8,34.2,5.2,27.4,1,5/5/2023 10:06:16 AM
4/3/2023 10:00:00 AM,4/3/2023 6:00:00 AM,800,188.9,31.8,158.3,421.1,800.0,0.0,0.85,5.8,34.2,0.5,14.2,1,5/5/2023 10:06:16 AM
4/3/2023 11:00:00 AM,4/3/2023 7:00:00 AM,800,189.2,31.8,126.2,452.7,800.0,0.0,0.89,5.8,34.2,6.0,37.3,1,5/5/2023 10:06:16 AM
4/3/2023 12:00:00 PM,4/3/2023 8:00:00 AM,525,163.7,33.5,95.1,232.7,525.0,0.0,0.91,5.8,34.2,7.2,29.0,1,5/5/2023 10:06:16 AM
4/3/2023 1:00:00 PM,4/3/2023 9:00:00 AM,525,163.7,93.4,92.8,174.9,525.0,0.0,0.90,5.8,34.2,6.0,39.5,1,5/5/2023 10:06:16 AM
4/3/2023 2:00:00 PM,4/3/2023 10:00:00 AM,525,167.5,3.7,84.3,269.6,525.0,0.0,0.90,5.8,34.2,5.6,38.2,1,5/5/2023 10:06:16 AM
4/3/2023 3:00:00 PM,4/3/2023 11:00:00 AM,525,163.4,57.3,92.6,211.8,525.0,0.0,0.89,5.8,34.2,8.3,34.1,1,5/5/2023 10:06:16 AM
4/3/2023 4:00:00 PM,4/3/2023 12:00:00 PM,525,163.7,120.8,92.7,148.0,525.0,0.0,0.89,5.8,34.2,6.9,38.5,1,5/5/2023 10:06:16 AM
4/3/2023 5:00:00 PM,4/3/2023 1:00:00 PM,525,165.2,57.3,93.9,208.5,525.0,0.0,0.91,5.8,34.2,5.2,35.9,1,5/5/2023 10:06:16 AM
4/3/2023 6:00:00 PM,4/3/2023 2:00:00 PM,525,164.0,57.3,89.8,213.9,525.0,0.0,0.90,5.8,34.2,5.8,38.9,1,5/5/2023 10:06:16 AM
4/3/2023 7:00:00 PM,4/3/2023 3:00:00 PM,525,164.0,55.5,89.6,215.9,525.0,0.0,0.90,5.8,34.2,7.2,35.8,1,5/5/2023 10:06:16 AM
4/3/2023 8:00:00 PM,4/3/2023 4:00:00 PM,525,153.3,55.5,82.3,234.0,525.0,0.0,0.90,5.8,34.2,5.6,44.9,1,5/5/2023 10:06:15 AM
4/3/2023 9:00:00 PM,4/3/2023 5:00:00 PM,800,171.5,55.5,104.2,468.8,800.0,0.0,0.88,5.8,34.2,4.8,46.5,1,5/5/2023 10:06:15 AM
4/3/2023 10:00:00 PM,4/3/2023 6:00:00 PM,800,171.1,55.5,107.5,465.9,800.0,0.0,0.91,5.8,34.2,4.3,33.5,1,5/5/2023 10:06:15 AM
4/3/2023 11:00:00 PM,4/3/2023 7:00:00 PM,800,171.3,55.5,104.9,468.3,800.0,0.0,0.91,5.8,34.2,4.0,39.8,1,5/5/2023 10:06:15 AM
4/4/2023 12:00:00 AM,4/3/2023 8:00:00 PM,800,189.3,55.5,115.4,439.7,800.0,0.0,0.92,5.8,34.2,3.7,39.4,1,5/5/2023 10:06:16 AM
4/4/2023 1:00:00 AM,4/3/2023 9:00:00 PM,800,189.6,159.4,117.6,333.5,800.0,0.0,0.92,5.8,34.2,3.5,32.7,1,5/5/2023 10:06:16 AM
