datetime_beginning_utc,datetime_beginning_ept,locale,service,mcp,mcp_capped,reg_ccp,reg_pcp,as_req_mw,total_mw,as_mw,ss_mw,tier1_mw,ircmwt2,dsr_as_mw,nsr_mw,regd_mw
8/1/2024 4:00:00 AM,8/1/2024 12:00:00 AM,PJM_RTO,REG,22.28,22.28,21.46,0.81,800.00,698.00,698.00,475.20,0.00,0.00,77.10,,220.80
8/1/2024 4:05:00 AM,8/1/2024 12:05:00 AM,PJM_RTO,REG,18.43,18.43,15.55,2.88,800.00,684.10,684.10,475.20,0.00,0.00,77.10,,220.80
8/1/2024 4:10:00 AM,8/1/2024 12:10:00 AM,PJM_RTO,REG,26.51,26.51,24.35,2.17,800.00,800.40,800.40,475.20,0.00,0.00,77.10,,204.60
8/1/2024 4:15:00 AM,8/1/2024 12:15:00 AM,PJM_RTO,REG,23.96,23.96,23.19,0.77,800.00,800.40,800.40,475.20,0.00,0.00,77.10,,204.60
8/1/2024 4:20:00 AM,8/1/2024 12:20:00 AM,PJM_RTO,REG,24.15,24.15,22.75,1.39,800.00,800.40,800.40,475.20,0.00,0.00,77.10,,204.60
8/1/2024 4:25:00 AM,8/1/2024 12:25:00 AM,PJM_RTO,REG,24.38,24.38,21.17,3.21,800.00,800.40,800.40,475.20,0.00,0.00,77.10,,204.60
8/1/2024 4:30:00 AM,8/1/2024 12:30:00 AM,PJM_RTO,REG,21.97,21.97,20.76,1.21,800.00,800.40,800.40,475.20,0.00,0.00,77.10,,204.60
8/1/2024 4:35:00 AM,8/1/2024 12:35:00 AM,PJM_RTO,REG,21.41,21.41,19.56,1.86,800.00,800.40,800.40,475.20,0.00,0.00,77.10,,204.60
8/1/2024 4:40:00 AM,8/1/2024 12:40:00 AM,PJM_RTO,REG,21.36,21.36,19.64,1.72,800.00,800.40,800.40,475.20,0.00,0.00,77.10,,204.60
8/1/2024 4:45:00 AM,8/1/2024 12:45:00 AM,PJM_RTO,REG,21.17,21.17,20.53,0.65,800.00,800.40,800.40,475.20,0.00,0.00,77.10,,204.60
